ID;S1_Temp;S2_Temp;S3_Temp;S4_Temp;S1_Light;S2_Light;S3_Light;S4_Light;S1_Sound;S2_Sound;S3_Sound;S4_Sound;S5_CO2;S5_CO2_Slope;S6_PIR;S7_PIR;Room_Occupancy_Count
142;2525~2538;2525~2544;2506~2544;2588~2619;15~16;19~20;71~76;53~54;7~8;4~6;5~7;9~11;355;0;0;0;0
143;2531;2531;2488;2575;0;0;0;0;7;5;6;9~11;355;0;0;0;0
144;2563~2569;2563~2569;2525;2575~2594;0;0;0;0;6~7;6;5~6;5~6;520~560;-2215384~-1684615;0;0;0
145;2513;2513;2450~2463;2538~2544;0;0;1~3;1~2;7;4~5;5~6;7~10;350~360;-173076~-65384;0;0;0
146;2519;2519;2475;2525;0;0;0;0;7;4~5;6;9;345;0;0;0;0
147;2544~2550;2544~2569;2538;2569~2613;9~10;11~12;45~56;33~38;7~8;5~6;6~8;8~10;355~370;0~507692;0;0;0
148;2538;2544;2500~2506;2588;0;0;0;0;7~8;5;5~6;9~10;355;65384~130769;0;0;0
149;2563~2569;2538;2519;2600;124~125;40;75~76;54;8~109;5~22;5~10;6~13;380;88461~253846;0;0;1
150;2506~2513;2513~2519;2469~2481;2563~2575;10;11~12;48~49;34~35;7~8;5;7~8;5~10;355;-23076~169230;0;0;0
151;2538;2538~2544;2500~2506;2556~2581;0;0;0;0;7;4~5;7;9~11;355~370;0~146153;0;0;0
152;2544~2569;2525~2538;2506~2519;2588~2606;123~124;36~38;65~69;46~49;8~61;5~15;7~37;6~22;360~375;0~296153;0~1;0;1
153;2613~2619;2581~2588;2563~2569;2631~2644;117~118;22~23;185~190;10~12;54~68;28~67;42~174;22~61;670~725;1857692~3250000;0~1;0~1;2
154;2525~2531;2525~2531;2475;2563;0;0;0;0;8;4~5;7;9~11;355;0;0;0;0
155;2619~2625;2613~2625;2594~2600;2625~2631;114~115;19;179~180;7;7~12;5~7;17~91;6~9;1015~1040;-453846~300000;0~1;0;2
156;2538;2538~2544;2506;2550;0;0;0;0;7;4~5;5~6;9;360~370;-296153~-88461;0;0;0
157;2519~2525;2525;2488;2531~2538;0;0;0;0;7;4~5;5~6;8;345;0;0;0;0
158;2613~2619;2575;2569~2588;2625~2631;116;24~26;178~185;9~18;49~160;56~117;32~360;25~112;680~810;1673076~2642307;0~1;0~1;2
159;2575~2594;2581~2613;2550~2569;2581~2619;0;0;0;0;6~7;4~5;7;7~11;725~965;-3457692~-1496153;0;0;0
160;2506~2519;2506~2513;2450~2463;2519~2531;0;0;0;0;9;4~5;5~6;6~8;345~355;-23076~0;0;0;0
161;2544~2588;2538~2575;2525~2538;2606~2613;17~160;20~249;75~88;55~63;8~41;5~313;6~41;7~20;355~405;0~892307;0~1;0~1;0
162;2594~2600;2619~2631;2575~2588;2594~2600;141~143;226~228;5~7;6~8;20~40;59~121;10~19;10~15;825~855;-276923~426923;0~1;0~1;2
163;2506~2513;2506~2513;2469;2544~2556;9;10;45;29~30;7~8;5;6~7;5~10;355~360;-65384~69230;0;0;0
164;2538;2544;2494~2500;2588;0;0;0;0;7~8;4~5;5~6;9~10;355;0;0;0;0
165;2581~2588;2606~2619;2575~2581;2581~2594;2~4;3~5;13~35;10~16;22~112;6~38;15~55;8~17;680~755;1657692~3946153;0~1;0~1;3
166;2525;2525;2481;2531;0;0;0;0;7;4~5;5~6;8;345;0;0;0;0
167;2500~2506;2500~2506;2456~2463;2500~2519;3~5;3~5;17~23;12~16;7~8;4~5;5~6;10;350;0;0;0;0
168;2531~2538;2538;2500;2544~2550;0;0;0;0;7;4~5;5~6;8;355~360;-288461~-219230;0;0;0
169;2513;2513~2519;2450~2456;2544;0;0;0;0;6~7;4~5;6;6;355~360;69230~107692;0;0;0
170;2519;2519;2475;2525;0;0;0;0;6~7;4;6;8;345;0;0;0;0
171;2575~2606;2675~2681;2550~2556;2625~2638;91~118;21~23;27~49;20~36;8~19;6~16;6~15;6~11;430~505;-1380769~1611538;0~1;0~1;0
172;2544;2538~2544;2494;2556~2569;0;0;0;0;6;5;5~6;5~6;370~375;0;0;0;0
173;2588;2594~2606;2575;2594~2631;2~14;3~17;12~80;10~49;7~20;5;8~16;8~11;675~760;-1788461~2946153;0~1;0~1;3
174;2531;2531~2538;2481;2563;0;0;0;0;6~7;5;5~6;5~6;360;-111538~0;0;0;0
175;2581~2594;2675~2681;2550~2556;2625~2638;120;24~26;42~48;31~35;22~85;6~14;6~14;6~14;415~450;-1865384~1207692;0~1;0;1
176;2544;2544;2538~2544;2613;10~13;13~15;53~62;39~45;7~10;6~8;6;10~11;355;0;0;0;0
177;2544;2538~2544;2494;2563~2569;0;0;0;0;7;5;6;6;365~370;-3846~0;0;0;0
178;2500~2513;2506~2513;2456~2463;2538~2550;6~7;7;35~37;24;7~8;4~5;5~6;5~7;355~360;-50000~38461;0;0;0
179;2513~2519;2519;2475;2519~2525;0;0;0;0;7;4~5;5;9;345;0;0;0;0
180;2506~2513;2506~2513;2456;2519~2531;1~2;1~2;7~11;5~7;7~8;5~6;7;10;350;0;0;0;0
181;2525~2538;2525~2544;2513~2538;2588~2619;14~16;18~19;70;50~51;7~8;6~7;6;10~11;355;0;0;0;0
182;2506~2513;2506~2519;2444~2456;2538~2550;0;0;0;0;8~9;5;7;5~6;355~360;-123076~0;0;0;0
183;2544~2550;2538~2556;2488~2494;2575~2581;155~157;236~239;68~71;53~55;17~351;35~56;11~32;7~19;450~500;303846~1996153;0~1;0~1;2
184;2625~2638;2594~2806;2588~2606;2638~2644;150;238~239;180~181;10~11;8~73;27~77;6~365;6~63;860~1220;-503846~2384615;0~1;0~1;3
185;2619~2631;2606~2675;2581~2594;2631;149~150;236~237;179~187;10~11;9~44;15~55;6~66;6~98;790~1045;1407692~3753846;0~1;0~1;3
186;2525~2531;2525~2538;2475~2481;2569;0;0;0;0;6~7;5;5~6;7;360~365;0~26923;0;0;0
187;2531~2538;2538;2500~2506;2544~2550;0;0;0;0;8;4~5;5~6;8~9;360~365;-126923~0;0;0;0
188;2513;2506;2456~2463;2519;5~6;6;29~31;20;8;4~5;5~6;8;345;0;0;0;0
189;2513~2519;2513;2475~2481;2569~2575;10~11;11~12;50~52;35;8;5~8;7~8;5~10;355~360;0~192307;0;0;0
190;2563~2594;2581~2813;2513~2538;2594~2619;156~160;244~249;77~80;57~59;47~127;64~309;17~47;14~42;455~630;1626923~3100000;0~1;0~1;2
191;2544;2538~2544;2494;2556~2569;0;0;0;0;6;5;5~6;5~6;370~375;0;0;0;0
192;2506~2513;2506~2513;2469;2563~2575;9~10;10~11;45~49;30~33;7~8;4~5;6;10~11;355;0;0;0;0
193;2513;2513~2519;2456;2550;0;0;0;0;6~7;5;5~6;5~6;355~360;-46153~0;0;0;0
194;2519;2519;2488~2500;2581~2594;13~14;15~16;61~65;44~45;9~16;5~14;6~10;6~10;355~360;-119230~61538;0;0;0
195;2506~2513;2506~2513;2469~2475;2569~2575;9~10;10~11;44~48;29~33;8;4~5;7;9~11;355;0;0;0;0
196;2506~2519;2506~2519;2444~2463;2538~2544;0;0;0;0;8~9;5;5~6;5~6;355~360;-84615~3846;0;0;0
197;2506~2513;2500~2506;2456~2463;2513;5~6;6;29~30;20;7~8;4~5;5~6;8;345;0;0;0;0
198;2519~2525;2525~2531;2475;2563;0;0;0;0;6~7;4~5;5~6;5~7;360;-76923~0;0;0;0
199;2581~2594;2681;2550;2625~2631;119~121;25~26;49;35~36;15~79;6~15;6~10;6~11;405~415;-1884615~-376923;0~1;0;1
200;2538;2544;2506;2588~2594;0;0;0;0;7~8;4~5;7;10~11;355;7692~226923;0;0;0
201;2506~2519;2506~2513;2469~2481;2550~2556;9~11;10~12;45~53;29~37;7~9;5~7;6~7;5~6;355~360;-138461~-76923;0;0;0
202;2531~2538;2538;2494;2550~2575;0;0;0;0;7;4~5;6;9;350~355;-280769~0;0;0;0
203;2544;2544;2531~2538;2619;1~2;1~2;10~14;7~10;7~8;5~6;5~6;9~11;350;-11538~7692;0;0;0
204;2519;2519;2475;2525;0;0;0;0;7;4~5;6;9;345;0;0;0;0
205;2538;2544;2500;2556~2581;0;0;0;0;6~7;5;5~6;6;375~380;-296153~0;0;0;0
206;2625~2631;2631~2713;2594~2600;2638~2644;148~149;234~235;177~178;10~11;24~57;21~285;59~189;22~44;890~1035;2484615~4015384;0~1;0~1;3
207;2506~2513;2506;2463;2525~2531;6;6;31~32;22;7~8;5~9;5~6;9~11;350;0;0;0;0
208;2531;2538;2494;2550~2581;0;0;0;0;8;4~5;5~6;8~9;355;-157692~0;0;0;0
209;2500~2506;2500~2506;2456~2463;2538~2544;7;7~8;36~39;24~26;7~14;4~10;7~17;5~10;355~360;-180769~46153;0;0;0
210;2531~2538;2531~2538;2494;2575~2581;0;0;0;0;8;4~5;5~6;10~11;355;0;0;0;0
211;2600~2606;2594~2619;2569;2613;0;0;0;0;6~7;4~5;6;6;950~990;-2611538~-2165384;0;0;0
212;2513~2519;2513~2519;2469;2525;0;0;0;0;8;4;6;9;345;0;0;0;0
213;2544;2538~2544;2538~2544;2613;15~16;19~20;70~75;51~54;7~8;4~6;6~7;9~11;355;0;0;0;0
214;2575~2594;2581~2600;2538~2563;2600~2619;0;0;0;0;6~7;4~5;7;6;705~865;-3407692~-1434615;0;0;0
215;2519~2525;2519;2494~2500;2581~2588;14;16;65;46;7~8;5~6;6~7;5~10;355~360;-65384~69230;0;0;0
216;2544;2538~2544;2538~2544;2613;15~16;19~20;70~75;51~54;7~8;4~6;6~7;9~11;355;0;0;0;0
217;2606~2619;2719~2738;2588~2606;2625~2631;164~165;251~256;273~279;72~74;56~148;43~145;12~284;10~83;860~960;-911538~2226923;0~1;0~1;3
218;2538;2538;2481~2488;2569~2575;0;0;0;0;6;4~5;5~6;7;365~370;-246153~0;0;0;0
