ID;S1_Temp;S2_Temp;S3_Temp;S4_Temp;S1_Light;S2_Light;S3_Light;S4_Light;S1_Sound;S2_Sound;S3_Sound;S4_Sound;S5_CO2;S5_CO2_Slope;S6_PIR;S7_PIR;Room_Occupancy_Count
82;2550~2638;2581~2900;2500~2619;2563~2656;0~165;0~258;0~280;0~74;6~388;4~344;4~367;5~340;370~1270;-6296153~8946153;0~1;0~1;3
83;2494~2531;2475~2519;2444~2500;2494~2594;2~124;1~37;10~75;6~53;6~384;4~64;5~48;5~39;345~450;-719230~1269230;0~1;0~1;0
84;2544~2625;2525~2575;2488~2588;2550~2644;0~160;0~251;0~214;0~63;6~384;4~344;5~365;5~112;350~815;-3169230~3907692;0~1;0~1;0
85;2550~2638;2581~2900;2500~2619;2563~2656;0~165;0~258;0~280;0~74;6~388;4~344;4~367;5~340;370~1270;-6296153~8946153;0~1;0~1;1
86;2544~2625;2525~2575;2488~2588;2550~2644;0~160;0~251;0~214;0~63;6~384;4~344;5~365;5~112;350~815;-3169230~3907692;0~1;0~1;0
87;2513~2538;2525~2544;2456~2506;2519~2569;0~158;0~243;0~70;0~54;6~71;4~68;5~27;5~23;345~455;-300000~646153;0~1;0;0
88;2494~2531;2475~2519;2444~2500;2494~2594;2~124;1~37;10~75;6~53;6~384;4~64;5~48;5~39;345~450;-719230~1269230;0~1;0~1;0
89;2519~2538;2525~2563;2481~2544;2575~2619;0~157;0~242;0~87;0~63;6~279;4~108;5~68;5~34;350~455;-296153~1103846;0~1;0~1;0
90;2550~2638;2581~2900;2500~2619;2563~2656;0~165;0~258;0~280;0~74;6~388;4~344;4~367;5~340;370~1270;-6296153~8946153;0~1;0~1;1
91;2513~2538;2525~2544;2456~2506;2519~2569;0~158;0~243;0~70;0~54;6~71;4~68;5~27;5~23;345~455;-300000~646153;0~1;0;0
92;2550~2638;2581~2900;2500~2619;2563~2656;0~165;0~258;0~280;0~74;6~388;4~344;4~367;5~340;370~1270;-6296153~8946153;0~1;0~1;3
93;2513~2538;2525~2544;2456~2506;2519~2569;0~158;0~243;0~70;0~54;6~71;4~68;5~27;5~23;345~455;-300000~646153;0~1;0;0
94;2544~2625;2525~2575;2488~2588;2550~2644;0~160;0~251;0~214;0~63;6~384;4~344;5~365;5~112;350~815;-3169230~3907692;0~1;0~1;0
95;2494~2531;2475~2519;2444~2500;2494~2594;2~124;1~37;10~75;6~53;6~384;4~64;5~48;5~39;345~450;-719230~1269230;0~1;0~1;0
96;2500~2525;2500~2519;2444~2481;2513~2563;0~1;0~1;0~10;0~7;6~11;4~11;5~10;5~12;345~365;-226923~288461;0;0;0
97;2494~2531;2475~2519;2444~2500;2494~2594;2~124;1~37;10~75;6~53;6~384;4~64;5~48;5~39;345~450;-719230~1269230;0~1;0~1;0
98;2550~2638;2581~2900;2500~2619;2563~2656;0~165;0~258;0~280;0~74;6~388;4~344;4~367;5~340;370~1270;-6296153~8946153;0~1;0~1;2
99;2519~2538;2525~2563;2481~2544;2575~2619;0~157;0~242;0~87;0~63;6~279;4~108;5~68;5~34;350~455;-296153~1103846;0~1;0~1;0
100;2544~2625;2525~2575;2488~2588;2550~2644;0~160;0~251;0~214;0~63;6~384;4~344;5~365;5~112;350~815;-3169230~3907692;0~1;0~1;0
101;2494~2531;2475~2519;2444~2500;2494~2594;2~124;1~37;10~75;6~53;6~384;4~64;5~48;5~39;345~450;-719230~1269230;0~1;0~1;0
102;2500~2525;2500~2519;2444~2481;2513~2563;0~1;0~1;0~10;0~7;6~11;4~11;5~10;5~12;345~365;-226923~288461;0;0;0
103;2513~2538;2525~2544;2456~2506;2519~2569;0~158;0~243;0~70;0~54;6~71;4~68;5~27;5~23;345~455;-300000~646153;0~1;0;0
104;2550~2638;2581~2900;2500~2619;2563~2656;0~165;0~258;0~280;0~74;6~388;4~344;4~367;5~340;370~1270;-6296153~8946153;0~1;0~1;0
105;2550~2638;2581~2900;2500~2619;2563~2656;0~165;0~258;0~280;0~74;6~388;4~344;4~367;5~340;370~1270;-6296153~8946153;0~1;0~1;0
106;2550~2638;2581~2900;2500~2619;2563~2656;0~165;0~258;0~280;0~74;6~388;4~344;4~367;5~340;370~1270;-6296153~8946153;0~1;0~1;0
107;2550~2638;2581~2900;2500~2619;2563~2656;0~165;0~258;0~280;0~74;6~388;4~344;4~367;5~340;370~1270;-6296153~8946153;0~1;0~1;3
108;2544~2625;2525~2575;2488~2588;2550~2644;0~160;0~251;0~214;0~63;6~384;4~344;5~365;5~112;350~815;-3169230~3907692;0~1;0~1;1
109;2500~2525;2500~2519;2444~2481;2513~2563;0~1;0~1;0~10;0~7;6~11;4~11;5~10;5~12;345~365;-226923~288461;0;0;0
110;2494~2531;2475~2519;2444~2500;2494~2594;2~124;1~37;10~75;6~53;6~384;4~64;5~48;5~39;345~450;-719230~1269230;0~1;0~1;0
111;2513~2538;2525~2544;2456~2506;2519~2569;0~158;0~243;0~70;0~54;6~71;4~68;5~27;5~23;345~455;-300000~646153;0~1;0;0
112;2500~2525;2500~2519;2444~2481;2513~2563;0~1;0~1;0~10;0~7;6~11;4~11;5~10;5~12;345~365;-226923~288461;0;0;0
113;2544~2625;2525~2575;2488~2588;2550~2644;0~160;0~251;0~214;0~63;6~384;4~344;5~365;5~112;350~815;-3169230~3907692;0~1;0~1;0
114;2550~2638;2581~2900;2500~2619;2563~2656;0~165;0~258;0~280;0~74;6~388;4~344;4~367;5~340;370~1270;-6296153~8946153;0~1;0~1;3
115;2500~2525;2500~2519;2444~2481;2513~2563;0~1;0~1;0~10;0~7;6~11;4~11;5~10;5~12;345~365;-226923~288461;0;0;0
116;2544~2625;2525~2575;2488~2588;2550~2644;0~160;0~251;0~214;0~63;6~384;4~344;5~365;5~112;350~815;-3169230~3907692;0~1;0~1;0
117;2519~2538;2525~2563;2481~2544;2575~2619;0~157;0~242;0~87;0~63;6~279;4~108;5~68;5~34;350~455;-296153~1103846;0~1;0~1;0
118;2513~2538;2525~2544;2456~2506;2519~2569;0~158;0~243;0~70;0~54;6~71;4~68;5~27;5~23;345~455;-300000~646153;0~1;0;0
119;2550~2638;2581~2900;2500~2619;2563~2656;0~165;0~258;0~280;0~74;6~388;4~344;4~367;5~340;370~1270;-6296153~8946153;0~1;0~1;1
120;2544~2625;2525~2575;2488~2588;2550~2644;0~160;0~251;0~214;0~63;6~384;4~344;5~365;5~112;350~815;-3169230~3907692;0~1;0~1;0
121;2513~2538;2525~2544;2456~2506;2519~2569;0~158;0~243;0~70;0~54;6~71;4~68;5~27;5~23;345~455;-300000~646153;0~1;0;0
122;2519~2538;2525~2563;2481~2544;2575~2619;0~157;0~242;0~87;0~63;6~279;4~108;5~68;5~34;350~455;-296153~1103846;0~1;0~1;0
123;2513~2538;2525~2544;2456~2506;2519~2569;0~158;0~243;0~70;0~54;6~71;4~68;5~27;5~23;345~455;-300000~646153;0~1;0;0
124;2519~2538;2525~2563;2481~2544;2575~2619;0~157;0~242;0~87;0~63;6~279;4~108;5~68;5~34;350~455;-296153~1103846;0~1;0~1;0
125;2494~2531;2475~2519;2444~2500;2494~2594;2~124;1~37;10~75;6~53;6~384;4~64;5~48;5~39;345~450;-719230~1269230;0~1;0~1;0
126;2513~2538;2525~2544;2456~2506;2519~2569;0~158;0~243;0~70;0~54;6~71;4~68;5~27;5~23;345~455;-300000~646153;0~1;0;0
127;2550~2638;2581~2900;2500~2619;2563~2656;0~165;0~258;0~280;0~74;6~388;4~344;4~367;5~340;370~1270;-6296153~8946153;0~1;0~1;3
128;2500~2525;2500~2519;2444~2481;2513~2563;0~1;0~1;0~10;0~7;6~11;4~11;5~10;5~12;345~365;-226923~288461;0;0;0
129;2550~2638;2581~2900;2500~2619;2563~2656;0~165;0~258;0~280;0~74;6~388;4~344;4~367;5~340;370~1270;-6296153~8946153;0~1;0~1;0
130;2550~2638;2581~2900;2500~2619;2563~2656;0~165;0~258;0~280;0~74;6~388;4~344;4~367;5~340;370~1270;-6296153~8946153;0~1;0~1;0
131;2519~2538;2525~2563;2481~2544;2575~2619;0~157;0~242;0~87;0~63;6~279;4~108;5~68;5~34;350~455;-296153~1103846;0~1;0~1;0
132;2544~2625;2525~2575;2488~2588;2550~2644;0~160;0~251;0~214;0~63;6~384;4~344;5~365;5~112;350~815;-3169230~3907692;0~1;0~1;1
133;2550~2638;2581~2900;2500~2619;2563~2656;0~165;0~258;0~280;0~74;6~388;4~344;4~367;5~340;370~1270;-6296153~8946153;0~1;0~1;2
134;2513~2538;2525~2544;2456~2506;2519~2569;0~158;0~243;0~70;0~54;6~71;4~68;5~27;5~23;345~455;-300000~646153;0~1;0;0
135;2500~2525;2500~2519;2444~2481;2513~2563;0~1;0~1;0~10;0~7;6~11;4~11;5~10;5~12;345~365;-226923~288461;0;0;0
136;2550~2638;2581~2900;2500~2619;2563~2656;0~165;0~258;0~280;0~74;6~388;4~344;4~367;5~340;370~1270;-6296153~8946153;0~1;0~1;1
137;2500~2525;2500~2519;2444~2481;2513~2563;0~1;0~1;0~10;0~7;6~11;4~11;5~10;5~12;345~365;-226923~288461;0;0;0
138;2550~2638;2581~2900;2500~2619;2563~2656;0~165;0~258;0~280;0~74;6~388;4~344;4~367;5~340;370~1270;-6296153~8946153;0~1;0~1;3
139;2519~2538;2525~2563;2481~2544;2575~2619;0~157;0~242;0~87;0~63;6~279;4~108;5~68;5~34;350~455;-296153~1103846;0~1;0~1;0
140;2500~2525;2500~2519;2444~2481;2513~2563;0~1;0~1;0~10;0~7;6~11;4~11;5~10;5~12;345~365;-226923~288461;0;0;0
141;2494~2531;2475~2519;2444~2500;2494~2594;2~124;1~37;10~75;6~53;6~384;4~64;5~48;5~39;345~450;-719230~1269230;0~1;0~1;0
142;2519~2538;2525~2563;2481~2544;2575~2619;0~157;0~242;0~87;0~63;6~279;4~108;5~68;5~34;350~455;-296153~1103846;0~1;0~1;0
143;2519~2538;2525~2563;2481~2544;2575~2619;0~157;0~242;0~87;0~63;6~279;4~108;5~68;5~34;350~455;-296153~1103846;0~1;0~1;0
144;2544~2625;2525~2575;2488~2588;2550~2644;0~160;0~251;0~214;0~63;6~384;4~344;5~365;5~112;350~815;-3169230~3907692;0~1;0~1;0
145;2500~2525;2500~2519;2444~2481;2513~2563;0~1;0~1;0~10;0~7;6~11;4~11;5~10;5~12;345~365;-226923~288461;0;0;0
146;2500~2525;2500~2519;2444~2481;2513~2563;0~1;0~1;0~10;0~7;6~11;4~11;5~10;5~12;345~365;-226923~288461;0;0;0
147;2544~2625;2525~2575;2488~2588;2550~2644;0~160;0~251;0~214;0~63;6~384;4~344;5~365;5~112;350~815;-3169230~3907692;0~1;0~1;0
148;2519~2538;2525~2563;2481~2544;2575~2619;0~157;0~242;0~87;0~63;6~279;4~108;5~68;5~34;350~455;-296153~1103846;0~1;0~1;0
149;2544~2625;2525~2575;2488~2588;2550~2644;0~160;0~251;0~214;0~63;6~384;4~344;5~365;5~112;350~815;-3169230~3907692;0~1;0~1;1
150;2494~2531;2475~2519;2444~2500;2494~2594;2~124;1~37;10~75;6~53;6~384;4~64;5~48;5~39;345~450;-719230~1269230;0~1;0~1;0
151;2519~2538;2525~2563;2481~2544;2575~2619;0~157;0~242;0~87;0~63;6~279;4~108;5~68;5~34;350~455;-296153~1103846;0~1;0~1;0
152;2544~2625;2525~2575;2488~2588;2550~2644;0~160;0~251;0~214;0~63;6~384;4~344;5~365;5~112;350~815;-3169230~3907692;0~1;0~1;1
153;2550~2638;2581~2900;2500~2619;2563~2656;0~165;0~258;0~280;0~74;6~388;4~344;4~367;5~340;370~1270;-6296153~8946153;0~1;0~1;2
154;2513~2538;2525~2544;2456~2506;2519~2569;0~158;0~243;0~70;0~54;6~71;4~68;5~27;5~23;345~455;-300000~646153;0~1;0;0
155;2550~2638;2581~2900;2500~2619;2563~2656;0~165;0~258;0~280;0~74;6~388;4~344;4~367;5~340;370~1270;-6296153~8946153;0~1;0~1;2
156;2513~2538;2525~2544;2456~2506;2519~2569;0~158;0~243;0~70;0~54;6~71;4~68;5~27;5~23;345~455;-300000~646153;0~1;0;0
157;2513~2538;2525~2544;2456~2506;2519~2569;0~158;0~243;0~70;0~54;6~71;4~68;5~27;5~23;345~455;-300000~646153;0~1;0;0
158;2544~2625;2525~2575;2488~2588;2550~2644;0~160;0~251;0~214;0~63;6~384;4~344;5~365;5~112;350~815;-3169230~3907692;0~1;0~1;2
159;2550~2638;2581~2900;2500~2619;2563~2656;0~165;0~258;0~280;0~74;6~388;4~344;4~367;5~340;370~1270;-6296153~8946153;0~1;0~1;0
160;2500~2525;2500~2519;2444~2481;2513~2563;0~1;0~1;0~10;0~7;6~11;4~11;5~10;5~12;345~365;-226923~288461;0;0;0
161;2544~2625;2525~2575;2488~2588;2550~2644;0~160;0~251;0~214;0~63;6~384;4~344;5~365;5~112;350~815;-3169230~3907692;0~1;0~1;0
162;2550~2638;2581~2900;2500~2619;2563~2656;0~165;0~258;0~280;0~74;6~388;4~344;4~367;5~340;370~1270;-6296153~8946153;0~1;0~1;2
163;2494~2531;2475~2519;2444~2500;2494~2594;2~124;1~37;10~75;6~53;6~384;4~64;5~48;5~39;345~450;-719230~1269230;0~1;0~1;0
164;2519~2538;2525~2563;2481~2544;2575~2619;0~157;0~242;0~87;0~63;6~279;4~108;5~68;5~34;350~455;-296153~1103846;0~1;0~1;0
165;2550~2638;2581~2900;2500~2619;2563~2656;0~165;0~258;0~280;0~74;6~388;4~344;4~367;5~340;370~1270;-6296153~8946153;0~1;0~1;3
166;2513~2538;2525~2544;2456~2506;2519~2569;0~158;0~243;0~70;0~54;6~71;4~68;5~27;5~23;345~455;-300000~646153;0~1;0;0
167;2494~2531;2475~2519;2444~2500;2494~2594;2~124;1~37;10~75;6~53;6~384;4~64;5~48;5~39;345~450;-719230~1269230;0~1;0~1;0
168;2513~2538;2525~2544;2456~2506;2519~2569;0~158;0~243;0~70;0~54;6~71;4~68;5~27;5~23;345~455;-300000~646153;0~1;0;0
169;2500~2525;2500~2519;2444~2481;2513~2563;0~1;0~1;0~10;0~7;6~11;4~11;5~10;5~12;345~365;-226923~288461;0;0;0
170;2500~2525;2500~2519;2444~2481;2513~2563;0~1;0~1;0~10;0~7;6~11;4~11;5~10;5~12;345~365;-226923~288461;0;0;0
171;2550~2638;2581~2900;2500~2619;2563~2656;0~165;0~258;0~280;0~74;6~388;4~344;4~367;5~340;370~1270;-6296153~8946153;0~1;0~1;0
