ID;age;race;sex;workclass;fnlwgt;education;education-num;marital-status;occupation;relationship;capital-gain;capital-loss;hours-per-week;native-country;salary-class
46;43;White;Female;Local-gov;98130;Bachelors;13;Divorced;Prof-specialty;Own-child;0;0;39;United-States;<=50K
47;30;White;Male;Private;193298;HS-grad;9;Married-civ-spouse;Transport-moving;Husband;0;0;45;United-States;<=50K
48;24;White;Male;Private;190290;Bachelors;13;Never-married;Sales;Not-in-family;0;0;60;United-States;<=50K
49;37;White;Male;Private;211494;HS-grad;9;Married-civ-spouse;Tech-support;Husband;0;0;40;United-States;>50K
50;66;White;Male;Private;127139;Bachelors;13;Married-civ-spouse;Prof-specialty;Husband;0;0;40;United-States;>50K
51;62;White;Male;Local-gov;136787;HS-grad;9;Divorced;Transport-moving;Other-relative;0;0;40;United-States;<=50K
52;35;White;Male;Private;105138;Bachelors;13;Married-civ-spouse;Tech-support;Husband;0;0;40;United-States;>50K
53;29;White;Male;Private;280618;Some-college;10;Married-civ-spouse;Handlers-cleaners;Husband;0;0;40;United-States;<=50K
54;23;White;Male;Private;260254;HS-grad;9;Never-married;Sales;Own-child;0;0;40;United-States;<=50K
55;29;White;Male;Private;134566;Masters;14;Married-civ-spouse;Sales;Husband;0;0;20;United-States;<=50K
56;30;White;Male;Private;195750;HS-grad;9;Never-married;Handlers-cleaners;Own-child;0;0;27;United-States;<=50K
57;52;White;Male;Private;190909;HS-grad;9;Married-civ-spouse;Exec-managerial;Husband;0;0;40;United-States;>50K
58;41;Black;Female;Federal-gov;187462;Assoc-voc;11;Divorced;Adm-clerical;Own-child;0;0;40;United-States;<=50K
59;43;White;Male;Local-gov;153132;Masters;14;Married-civ-spouse;Prof-specialty;Husband;15024;0;40;United-States;>50K
60;72;White;Male;Private;156310;10th;6;Married-civ-spouse;Other-service;Husband;2414;0;12;United-States;<=50K
61;30;White;Male;Private;39054;HS-grad;9;Married-civ-spouse;Exec-managerial;Husband;0;0;65;United-States;>50K
62;35;White;Male;Private;112264;HS-grad;9;Married-civ-spouse;Sales;Husband;0;0;50;United-States;<=50K
63;27;White;Male;Private;329426;Bachelors;13;Never-married;Exec-managerial;Not-in-family;0;0;45;United-States;<=50K
64;73;White;Male;Private;92298;11th;7;Married-civ-spouse;Machine-op-inspct;Husband;0;0;15;United-States;<=50K
65;45;White;Male;Local-gov;334039;Some-college;10;Married-civ-spouse;Exec-managerial;Husband;0;0;40;United-States;>50K
66;61;White;Female;Private;316359;Some-college;10;Divorced;Sales;Not-in-family;0;0;40;United-States;<=50K
67;18;White;Male;Local-gov;134935;12th;8;Never-married;Protective-serv;Own-child;0;0;40;United-States;<=50K
68;30;White;Male;Private;271710;Bachelors;13;Married-civ-spouse;Sales;Husband;7298;0;50;United-States;>50K
69;25;White;Male;Private;28473;Assoc-voc;11;Married-civ-spouse;Craft-repair;Husband;0;0;40;United-States;<=50K
70;57;White;Male;Self-emp-not-inc;177271;Doctorate;16;Married-civ-spouse;Prof-specialty;Husband;0;0;35;United-States;<=50K
71;22;White;Female;State-gov;201569;Bachelors;13;Never-married;Prof-specialty;Own-child;0;0;20;United-States;<=50K
72;60;White;Female;State-gov;97030;Bachelors;13;Divorced;Exec-managerial;Not-in-family;0;0;35;United-States;<=50K
73;55;White;Male;Private;208019;5th-6th;3;Married-civ-spouse;Machine-op-inspct;Husband;0;0;40;Mexico;<=50K
74;23;White;Female;Private;396099;HS-grad;9;Never-married;Other-service;Not-in-family;0;0;25;United-States;<=50K
75;46;White;Male;Private;459189;Some-college;10;Married-civ-spouse;Craft-repair;Husband;0;1902;50;United-States;>50K
76;44;White;Male;Private;165815;HS-grad;9;Married-civ-spouse;Exec-managerial;Husband;0;0;60;United-States;>50K
77;21;White;Male;Private;301694;HS-grad;9;Never-married;Craft-repair;Not-in-family;0;0;35;Mexico;<=50K
78;22;White;Female;Private;306967;Some-college;10;Never-married;Adm-clerical;Not-in-family;0;0;25;United-States;<=50K
79;50;White;Male;Federal-gov;20179;Masters;14;Married-civ-spouse;Tech-support;Husband;0;0;40;United-States;>50K
80;41;White;Male;Federal-gov;36651;Masters;14;Married-civ-spouse;Exec-managerial;Husband;0;1848;40;United-States;>50K
81;58;Black;Male;Private;158002;Some-college;10;Married-civ-spouse;Sales;Husband;0;0;40;United-States;<=50K
82;45;White;Male;Private;112283;Bachelors;13;Married-civ-spouse;Sales;Husband;0;0;55;United-States;<=50K
83;38;White;Male;Self-emp-not-inc;239045;Doctorate;16;Married-civ-spouse;Prof-specialty;Husband;0;0;50;United-States;>50K
84;51;White;Male;Private;22211;Masters;14;Married-civ-spouse;Prof-specialty;Husband;0;1902;60;United-States;>50K
85;33;Black;Male;Private;199170;Some-college;10;Never-married;Craft-repair;Not-in-family;0;0;40;United-States;<=50K
86;28;White;Male;Private;269786;HS-grad;9;Never-married;Transport-moving;Unmarried;0;0;50;United-States;<=50K
87;44;White;Female;Federal-gov;38434;Masters;14;Never-married;Prof-specialty;Not-in-family;0;0;40;United-States;<=50K
88;42;Asian-Pac-Islander;Male;Self-emp-inc;96509;Some-college;10;Married-civ-spouse;Exec-managerial;Husband;0;0;60;Taiwan;<=50K
89;31;White;Male;Private;263561;Masters;14;Married-civ-spouse;Exec-managerial;Husband;0;0;40;United-States;>50K
90;46;Amer-Indian-Eskimo;Female;Federal-gov;199725;Assoc-voc;11;Divorced;Craft-repair;Not-in-family;0;0;60;United-States;<=50K
91;20;White;Male;Self-emp-not-inc;263498;Assoc-voc;11;Never-married;Farming-fishing;Own-child;0;0;40;United-States;<=50K
92;22;White;Male;Private;195179;Some-college;10;Never-married;Sales;Own-child;0;0;24;United-States;<=50K
93;21;White;Female;Private;177265;Assoc-acdm;12;Never-married;Other-service;Own-child;0;0;30;United-States;<=50K
94;37;White;Male;Private;117381;HS-grad;9;Married-civ-spouse;Tech-support;Husband;0;0;80;United-States;>50K
95;31;White;Female;Private;158545;HS-grad;9;Married-civ-spouse;Adm-clerical;Wife;0;0;27;United-States;<=50K
96;52;White;Male;State-gov;303462;Some-college;10;Separated;Protective-serv;Unmarried;0;0;40;United-States;<=50K
97;46;White;Male;Private;149388;Bachelors;13;Married-civ-spouse;Craft-repair;Husband;0;0;40;United-States;>50K
98;28;White;Female;Private;148645;HS-grad;9;Never-married;Machine-op-inspct;Own-child;0;0;40;United-States;<=50K
99;71;White;Female;Private;269708;Bachelors;13;Divorced;Tech-support;Own-child;2329;0;16;United-States;<=50K
100;33;White;Male;Private;226525;HS-grad;9;Divorced;Exec-managerial;Not-in-family;0;0;60;United-States;<=50K
101;24;White;Female;Private;190293;Bachelors;13;Never-married;Prof-specialty;Not-in-family;0;0;40;United-States;<=50K
102;31;White;Male;Private;38223;Bachelors;13;Never-married;Sales;Own-child;0;0;45;United-States;<=50K
103;55;Asian-Pac-Islander;Male;State-gov;120781;Doctorate;16;Married-civ-spouse;Prof-specialty;Husband;0;0;40;India;>50K
104;23;White;Male;Private;378546;Some-college;10;Never-married;Craft-repair;Own-child;0;0;40;United-States;<=50K
105;28;Black;Female;Private;156300;Masters;14;Never-married;Exec-managerial;Not-in-family;0;0;45;United-States;<=50K
106;22;White;Male;Private;208946;Some-college;10;Never-married;Adm-clerical;Own-child;0;0;25;United-States;<=50K
107;45;White;Male;Private;102308;Masters;14;Married-civ-spouse;Exec-managerial;Husband;15024;0;60;United-States;>50K
108;55;Black;Female;Private;143372;HS-grad;9;Divorced;Sales;Unmarried;0;0;40;United-States;<=50K
109;27;White;Female;State-gov;365916;Assoc-acdm;12;Never-married;Exec-managerial;Not-in-family;0;0;58;United-States;<=50K
110;61;White;Male;Private;125155;HS-grad;9;Married-civ-spouse;Machine-op-inspct;Husband;0;0;40;United-States;<=50K
111;59;White;Male;Local-gov;53304;Bachelors;13;Married-civ-spouse;Prof-specialty;Husband;0;0;50;United-States;>50K
112;28;White;Female;Self-emp-not-inc;104617;7th-8th;4;Never-married;Other-service;Other-relative;0;0;99;Mexico;<=50K
113;33;White;Male;Private;187560;Assoc-voc;11;Married-civ-spouse;Sales;Husband;0;0;36;United-States;<=50K
114;47;White;Male;Self-emp-not-inc;190072;Some-college;10;Married-civ-spouse;Craft-repair;Husband;0;0;40;Iran;>50K
115;42;White;Female;Private;141186;Some-college;10;Never-married;Other-service;Own-child;0;0;40;United-States;<=50K
116;20;Asian-Pac-Islander;Male;Private;112847;HS-grad;9;Never-married;Farming-fishing;Own-child;0;0;40;United-States;<=50K
117;28;White;Male;Private;444304;Bachelors;13;Married-civ-spouse;Tech-support;Husband;0;0;40;United-States;<=50K
118;20;White;Male;Private;131611;Some-college;10;Never-married;Adm-clerical;Own-child;0;0;48;United-States;<=50K
119;44;White;Female;Private;134120;HS-grad;9;Married-civ-spouse;Adm-clerical;Wife;0;0;40;United-States;>50K
120;37;White;Female;Private;179731;HS-grad;9;Never-married;Other-service;Unmarried;0;0;35;United-States;<=50K
121;37;White;Male;Private;42645;HS-grad;9;Married-civ-spouse;Farming-fishing;Husband;0;0;40;United-States;<=50K
122;33;White;Male;Local-gov;298785;10th;6;Divorced;Transport-moving;Not-in-family;0;0;40;United-States;<=50K
123;45;White;Male;Private;190482;Assoc-voc;11;Married-civ-spouse;Craft-repair;Husband;0;0;76;United-States;<=50K
124;18;White;Female;Private;98667;11th;7;Never-married;Other-service;Own-child;0;0;16;United-States;<=50K
125;29;White;Male;Self-emp-not-inc;322238;HS-grad;9;Never-married;Farming-fishing;Not-in-family;0;0;40;United-States;<=50K
126;45;White;Male;Private;102147;HS-grad;9;Married-civ-spouse;Craft-repair;Husband;0;0;40;United-States;<=50K
127;43;White;Male;Self-emp-inc;150533;Assoc-voc;11;Married-civ-spouse;Exec-managerial;Other-relative;0;0;50;United-States;>50K
128;37;White;Male;Self-emp-not-inc;181553;HS-grad;9;Divorced;Craft-repair;Not-in-family;0;0;50;United-States;<=50K
129;44;White;Female;Private;160829;Bachelors;13;Married-civ-spouse;Tech-support;Wife;0;0;20;United-States;>50K
130;40;Black;Female;Private;103789;Assoc-acdm;12;Divorced;Adm-clerical;Unmarried;0;0;32;United-States;<=50K
131;21;White;Female;Private;301556;HS-grad;9;Never-married;Other-service;Own-child;0;0;19;United-States;<=50K
132;49;White;Female;Private;204057;Assoc-acdm;12;Divorced;Exec-managerial;Not-in-family;0;0;40;United-States;<=50K
133;38;White;Male;Private;26698;HS-grad;9;Married-civ-spouse;Tech-support;Husband;0;0;40;United-States;<=50K
134;53;Black;Female;Local-gov;233734;Masters;14;Divorced;Prof-specialty;Not-in-family;0;0;40;United-States;>50K
135;48;White;Male;Self-emp-inc;88564;Some-college;10;Divorced;Farming-fishing;Not-in-family;0;0;45;United-States;<=50K
136;45;White;Female;Local-gov;181758;Masters;14;Never-married;Prof-specialty;Not-in-family;0;0;40;United-States;<=50K
137;26;White;Male;Private;170786;Some-college;10;Married-civ-spouse;Transport-moving;Husband;0;0;40;United-States;<=50K
138;27;White;Male;Private;107236;HS-grad;9;Married-civ-spouse;Other-service;Husband;0;0;40;United-States;<=50K
139;59;White;Male;Local-gov;176118;Masters;14;Divorced;Prof-specialty;Not-in-family;0;0;40;United-States;>50K
140;32;White;Male;Private;245378;HS-grad;9;Married-civ-spouse;Sales;Husband;0;0;60;United-States;<=50K
141;40;White;Male;Private;146659;HS-grad;9;Married-civ-spouse;Sales;Husband;0;0;60;United-States;>50K
142;21;White;Female;State-gov;38251;Some-college;10;Never-married;Tech-support;Own-child;0;0;20;United-States;<=50K
143;19;White;Female;Private;205830;HS-grad;9;Never-married;Other-service;Own-child;0;0;40;El-Salvador;<=50K
144;45;White;Male;Private;186256;HS-grad;9;Divorced;Craft-repair;Not-in-family;0;0;40;United-States;<=50K
145;32;White;Female;Private;101562;Bachelors;13;Never-married;Prof-specialty;Not-in-family;0;0;45;United-States;<=50K
146;50;White;Male;Self-emp-not-inc;37913;Bachelors;13;Married-civ-spouse;Exec-managerial;Husband;0;0;40;Italy;>50K
147;34;White;Male;Private;108837;Some-college;10;Married-civ-spouse;Handlers-cleaners;Husband;0;0;40;United-States;>50K
148;65;White;Male;Private;192133;HS-grad;9;Married-civ-spouse;Craft-repair;Husband;2290;0;40;Greece;<=50K
149;46;Amer-Indian-Eskimo;Female;Local-gov;197988;1st-4th;2;Never-married;Other-service;Not-in-family;0;0;20;United-States;<=50K
150;44;White;Male;Private;222596;HS-grad;9;Divorced;Tech-support;Not-in-family;0;0;50;United-States;>50K
151;37;White;Male;Private;213008;Assoc-voc;11;Married-civ-spouse;Prof-specialty;Husband;0;0;40;Japan;<=50K
152;25;White;Female;Private;209230;HS-grad;9;Never-married;Other-service;Own-child;0;0;6;United-States;<=50K
153;43;White;Male;Self-emp-not-inc;180985;Bachelors;13;Separated;Craft-repair;Unmarried;0;0;35;United-States;<=50K
154;57;Black;Male;Self-emp-inc;61885;HS-grad;9;Married-civ-spouse;Prof-specialty;Husband;0;0;60;United-States;>50K
155;55;White;Male;Federal-gov;113398;Some-college;10;Never-married;Adm-clerical;Unmarried;0;0;40;United-States;<=50K
156;50;White;Male;Local-gov;145166;Masters;14;Married-civ-spouse;Prof-specialty;Husband;7298;0;40;United-States;>50K
157;41;White;Female;Private;170299;Assoc-voc;11;Divorced;Prof-specialty;Unmarried;0;0;43;United-States;<=50K
158;43;White;Male;Private;60001;Bachelors;13;Divorced;Sales;Unmarried;0;0;44;United-States;>50K
159;69;White;Female;Private;130413;Bachelors;13;Widowed;Exec-managerial;Not-in-family;2346;0;15;United-States;<=50K
160;23;White;Male;Private;257683;Bachelors;13;Never-married;Prof-specialty;Own-child;0;0;40;United-States;<=50K
161;50;White;Male;Federal-gov;307555;Bachelors;13;Divorced;Prof-specialty;Not-in-family;0;0;60;United-States;>50K
162;46;Other;Female;Federal-gov;119890;Assoc-voc;11;Separated;Tech-support;Not-in-family;0;0;30;United-States;<=50K
163;35;Amer-Indian-Eskimo;Male;Self-emp-not-inc;108198;HS-grad;9;Divorced;Craft-repair;Own-child;0;0;15;United-States;<=50K
164;54;White;Male;Federal-gov;51048;HS-grad;9;Married-civ-spouse;Prof-specialty;Husband;0;0;40;United-States;>50K
165;46;White;Female;Private;264210;Some-college;10;Married-civ-spouse;Farming-fishing;Wife;0;0;20;United-States;<=50K
166;43;White;Male;Local-gov;194360;Masters;14;Never-married;Prof-specialty;Not-in-family;0;0;38;United-States;<=50K
167;37;White;Male;State-gov;367237;Assoc-voc;11;Never-married;Prof-specialty;Not-in-family;8614;0;40;United-States;>50K
168;42;White;Female;Private;76280;HS-grad;9;Married-civ-spouse;Exec-managerial;Wife;0;0;40;United-States;<=50K
169;37;White;Male;Private;125167;Some-college;10;Married-civ-spouse;Exec-managerial;Husband;0;0;60;United-States;>50K
170;44;White;Female;Private;462838;HS-grad;9;Divorced;Handlers-cleaners;Not-in-family;0;0;48;United-States;<=50K
171;55;White;Male;Private;160362;Bachelors;13;Married-civ-spouse;Adm-clerical;Husband;0;0;40;United-States;>50K
172;23;White;Male;Private;113309;Some-college;10;Never-married;Transport-moving;Not-in-family;0;0;40;United-States;<=50K
173;44;White;Male;Private;106900;HS-grad;9;Married-civ-spouse;Sales;Husband;0;0;68;United-States;<=50K
174;42;White;Female;Private;99373;HS-grad;9;Divorced;Machine-op-inspct;Not-in-family;0;0;40;United-States;<=50K
175;22;White;Female;Private;214399;Some-college;10;Never-married;Sales;Own-child;0;0;30;United-States;<=50K
176;31;White;Female;Private;90668;10th;6;Never-married;Other-service;Not-in-family;0;0;40;United-States;<=50K
177;38;White;Male;Private;27408;HS-grad;9;Divorced;Craft-repair;Unmarried;0;0;50;United-States;<=50K
178;49;White;Female;Local-gov;173584;Bachelors;13;Never-married;Prof-specialty;Not-in-family;0;0;50;United-States;<=50K
179;42;Black;Male;State-gov;212027;Bachelors;13;Divorced;Prof-specialty;Not-in-family;0;0;40;United-States;<=50K
180;25;White;Male;Private;173212;Assoc-acdm;12;Never-married;Farming-fishing;Not-in-family;2354;0;45;United-States;<=50K
181;37;White;Male;Federal-gov;187046;Some-college;10;Married-civ-spouse;Prof-specialty;Husband;0;0;40;United-States;>50K
182;27;White;Male;Private;205188;10th;6;Married-civ-spouse;Machine-op-inspct;Husband;0;0;40;United-States;<=50K
183;51;Black;Female;Private;155408;HS-grad;9;Married-spouse-absent;Sales;Not-in-family;0;0;38;United-States;<=50K
184;56;White;Male;Private;98630;7th-8th;4;Never-married;Adm-clerical;Not-in-family;0;0;40;United-States;<=50K
185;58;White;Female;Local-gov;283635;Bachelors;13;Never-married;Prof-specialty;Not-in-family;0;0;40;United-States;<=50K
186;34;White;Male;Private;106541;Some-college;10;Married-civ-spouse;Machine-op-inspct;Husband;0;0;40;United-States;<=50K
187;30;White;Female;Private;81282;HS-grad;9;Never-married;Other-service;Unmarried;0;0;40;United-States;<=50K
188;53;White;Female;Private;311269;HS-grad;9;Divorced;Other-service;Not-in-family;0;0;40;United-States;<=50K
189;37;White;Male;Private;200153;HS-grad;9;Married-civ-spouse;Craft-repair;Husband;0;0;40;United-States;<=50K
190;45;White;Male;Private;151518;HS-grad;9;Married-civ-spouse;Exec-managerial;Husband;0;0;45;United-States;<=50K
191;53;White;Male;Self-emp-inc;137815;Some-college;10;Widowed;Exec-managerial;Not-in-family;0;0;40;United-States;>50K
192;36;White;Female;Self-emp-not-inc;90159;Some-college;10;Married-civ-spouse;Other-service;Wife;0;0;40;United-States;<=50K
193;30;White;Female;Local-gov;233993;Bachelors;13;Never-married;Prof-specialty;Own-child;0;0;15;United-States;<=50K
194;61;White;Male;Private;79827;HS-grad;9;Married-civ-spouse;Exec-managerial;Husband;0;0;50;United-States;<=50K
195;35;White;Male;Private;241998;Bachelors;13;Married-civ-spouse;Exec-managerial;Husband;0;0;45;United-States;>50K
196;34;White;Male;Private;159929;HS-grad;9;Divorced;Handlers-cleaners;Own-child;0;0;40;United-States;<=50K
197;46;White;Female;Local-gov;170092;Masters;14;Never-married;Prof-specialty;Not-in-family;0;0;43;United-States;<=50K
198;39;White;Male;Private;24106;Some-college;10;Married-civ-spouse;Sales;Husband;0;0;40;Philippines;>50K
199;48;Black;Female;Private;207982;Some-college;10;Never-married;Other-service;Unmarried;0;0;40;United-States;<=50K
200;55;White;Female;Self-emp-inc;120920;Masters;14;Divorced;Prof-specialty;Not-in-family;0;0;35;United-States;<=50K
201;25;White;Female;Local-gov;84224;Bachelors;13;Never-married;Prof-specialty;Not-in-family;0;0;40;United-States;<=50K
202;19;White;Male;Private;170720;12th;8;Never-married;Other-service;Own-child;0;0;16;United-States;<=50K
203;39;White;Male;Self-emp-inc;188069;Assoc-voc;11;Married-civ-spouse;Exec-managerial;Husband;0;0;60;United-States;>50K
204;55;White;Female;Private;231738;HS-grad;9;Divorced;Sales;Not-in-family;0;0;40;England;<=50K
205;36;White;Male;Private;176544;Some-college;10;Never-married;Other-service;Not-in-family;0;0;48;United-States;<=50K
206;24;White;Female;Private;311376;Bachelors;13;Never-married;Prof-specialty;Not-in-family;0;0;40;United-States;<=50K
207;34;Black;Male;Private;244064;HS-grad;9;Never-married;Machine-op-inspct;Unmarried;0;0;40;United-States;<=50K
208;25;White;Female;State-gov;194954;Some-college;10;Married-civ-spouse;Other-service;Wife;0;0;15;United-States;<=50K
209;30;White;Female;Private;30063;HS-grad;9;Divorced;Other-service;Unmarried;0;0;32;United-States;<=50K
210;52;White;Female;Federal-gov;424012;Some-college;10;Divorced;Exec-managerial;Not-in-family;0;0;40;United-States;<=50K
211;31;White;Male;Private;197252;7th-8th;4;Married-civ-spouse;Other-service;Husband;0;0;40;Mexico;<=50K
212;29;White;Male;Private;180758;Masters;14;Never-married;Prof-specialty;Not-in-family;0;0;40;United-States;<=50K
213;41;White;Male;Self-emp-not-inc;89942;HS-grad;9;Divorced;Sales;Not-in-family;3674;0;45;United-States;<=50K
214;59;White;Female;Private;169639;Assoc-acdm;12;Widowed;Exec-managerial;Unmarried;0;0;40;United-States;<=50K
215;40;White;Male;Private;144067;Assoc-voc;11;Married-civ-spouse;Craft-repair;Husband;0;0;40;United-States;<=50K
216;35;White;Male;Self-emp-inc;338320;HS-grad;9;Married-civ-spouse;Exec-managerial;Husband;0;0;50;United-States;>50K
217;51;White;Male;Private;192182;Some-college;10;Married-civ-spouse;Machine-op-inspct;Husband;7298;0;40;United-States;>50K
218;28;White;Male;Private;209109;Bachelors;13;Married-civ-spouse;Other-service;Husband;0;0;50;United-States;<=50K
219;34;White;Male;Private;346122;HS-grad;9;Never-married;Tech-support;Not-in-family;0;0;40;United-States;<=50K
220;32;White;Male;State-gov;71151;Bachelors;13;Married-civ-spouse;Tech-support;Husband;0;0;20;United-States;<=50K
221;32;White;Male;Private;212276;Bachelors;13;Married-civ-spouse;Prof-specialty;Husband;0;0;60;United-States;>50K
222;37;White;Male;Private;112497;Masters;14;Married-civ-spouse;Exec-managerial;Husband;0;0;40;United-States;>50K
223;55;White;Male;Self-emp-not-inc;158315;HS-grad;9;Married-civ-spouse;Sales;Husband;0;0;50;United-States;>50K
224;52;White;Female;Private;132973;HS-grad;9;Divorced;Adm-clerical;Unmarried;0;0;38;United-States;<=50K
225;52;White;Female;Private;226084;HS-grad;9;Widowed;Priv-house-serv;Other-relative;0;0;40;United-States;<=50K
226;62;White;Female;Private;257277;HS-grad;9;Widowed;Adm-clerical;Not-in-family;0;0;38;United-States;<=50K
227;58;White;Female;Private;153551;Bachelors;13;Never-married;Prof-specialty;Not-in-family;0;0;60;United-States;<=50K
228;28;White;Male;Private;162343;HS-grad;9;Never-married;Other-service;Not-in-family;0;0;40;Puerto-Rico;<=50K
229;43;White;Male;Private;212894;HS-grad;9;Divorced;Craft-repair;Other-relative;0;0;40;United-States;<=50K
230;44;White;Male;Private;98211;Bachelors;13;Married-civ-spouse;Transport-moving;Husband;0;0;55;United-States;<=50K
231;36;White;Male;Private;28996;Some-college;10;Married-civ-spouse;Sales;Husband;0;0;45;United-States;<=50K
232;48;White;Male;Private;186539;Some-college;10;Married-civ-spouse;Prof-specialty;Husband;0;0;40;United-States;<=50K
233;31;Asian-Pac-Islander;Female;Self-emp-inc;83748;Some-college;10;Married-civ-spouse;Exec-managerial;Wife;0;0;70;South;<=50K
